"id","firstname","lastname","city","email"
1,"John","Smith","New York","john.smith@email.com"
2,"Maria","Garcia","Miami","maria.g@email.com"
3,"Robert","Johnson","Chicago","rob.johnson@email.com"
4,"Sarah","Williams","Los Angeles","sarah.w@email.com"
5,"Michael","Brown","Houston","michael.b@email.com"
6,"Lisa","Davis","Phoenix","lisa.davis@email.com"
7,"James","Wilson","Philadelphia","james.w@email.com"
8,"Jennifer","Martinez","San Diego","jen.martinez@email.com"
9,"David","Anderson","Dallas","david.a@email.com"
10,"Emma","Taylor","San Francisco","emma.t@email.com"
